experiment_no,experiment_id,generated_at,dataset_fingerprint,champion_before,challenger_id,challenger_config_json,dev_champion_exact_nll,dev_challenger_exact_nll,dev_improvement,folds_won,worst_fold_regression,confirmation_run,confirmation_passed,audit_champion_exact_nll,audit_challenger_exact_nll,audit_improvement_report_only,decision,reason,champion_after
21,exp-0000021-8364958b2e00,2026-08-22T12:29:29+09:00,d00cd33771798e2fda3b,champ-5c4ebf8f035b,chal-8364958b2e00,"{""evolution_rate"": 0.7, ""frequency_profile"": ""recent"", ""half_life_draws"": 1500, ""lr_c"": 0.5, ""markov_blend"": 0.65, ""random_state"": 42, ""top_k"": 20, ""transition_window"": 1000, ""tree_estimators"": 240, ""tree_min_leaf"": 12, ""validation_draws"": 1000, ""weight_temperature"": 0.01}",6.91314930508815,6.918992702043792,-0.0058433969556421,1,0.0107168280883005,False,False,6.919173646423948,6.917044769538032,0.0021288768859157,REJECTED,rejected: development improvement/consistency threshold not met,champ-5c4ebf8f035b
22,exp-0000022-47118470f2ca,2026-08-22T12:29:42+09:00,d00cd33771798e2fda3b,champ-5c4ebf8f035b,chal-47118470f2ca,"{""evolution_rate"": 0.7, ""frequency_profile"": ""default"", ""half_life_draws"": 2000, ""lr_c"": 1.0, ""markov_blend"": 0.65, ""random_state"": 42, ""top_k"": 20, ""transition_window"": 1000, ""tree_estimators"": 240, ""tree_min_leaf"": 8, ""validation_draws"": 1000, ""weight_temperature"": 0.01}",6.91314930508815,6.923691406130938,-0.0105421010427875,0,0.0195283227815519,False,False,6.919173646423948,6.912733223932,0.0064404224919476,REJECTED,rejected: development improvement/consistency threshold not met,champ-5c4ebf8f035b
23,exp-0000023-a0cd8cd14977,2026-08-22T12:29:55+09:00,d00cd33771798e2fda3b,champ-5c4ebf8f035b,chal-a0cd8cd14977,"{""evolution_rate"": 0.7, ""frequency_profile"": ""recent"", ""half_life_draws"": 1500, ""lr_c"": 0.5, ""markov_blend"": 0.65, ""random_state"": 42, ""top_k"": 20, ""transition_window"": 1000, ""tree_estimators"": 320, ""tree_min_leaf"": 8, ""validation_draws"": 1000, ""weight_temperature"": 0.01}",6.91314930508815,6.913545598049869,-0.0003962929617191,2,0.0051605668885406,False,False,6.919173646423948,6.91970248958672,-0.0005288431627716,REJECTED,rejected: development improvement/consistency threshold not met,champ-5c4ebf8f035b
24,exp-0000024-5506a38cd1ce,2026-08-22T12:30:04+09:00,d00cd33771798e2fda3b,champ-5c4ebf8f035b,chal-5506a38cd1ce,"{""evolution_rate"": 0.7, ""frequency_profile"": ""default"", ""half_life_draws"": 1000, ""lr_c"": 0.5, ""markov_blend"": 0.65, ""random_state"": 42, ""top_k"": 20, ""transition_window"": 1000, ""tree_estimators"": 180, ""tree_min_leaf"": 8, ""validation_draws"": 1000, ""weight_temperature"": 0.01}",6.91314930508815,6.928522991828172,-0.0153736867400215,0,0.0163339307249614,False,False,6.919173646423948,6.920816624753584,-0.0016429783296363,REJECTED,rejected: development improvement/consistency threshold not met,champ-5c4ebf8f035b
25,exp-0000025-6640896eaff1,2026-08-22T12:30:16+09:00,d00cd33771798e2fda3b,champ-5c4ebf8f035b,chal-6640896eaff1,"{""evolution_rate"": 0.7, ""frequency_profile"": ""default"", ""half_life_draws"": 3000, ""lr_c"": 0.5, ""markov_blend"": 0.65, ""random_state"": 42, ""top_k"": 20, ""transition_window"": 1000, ""tree_estimators"": 180, ""tree_min_leaf"": 8, ""validation_draws"": 1000, ""weight_temperature"": 0.01}",6.91314930508815,6.921654803836804,-0.0085054987486543,0,0.0161617431920797,False,False,6.919173646423948,6.921104593047403,-0.0019309466234549,REJECTED,rejected: development improvement/consistency threshold not met,champ-5c4ebf8f035b
26,exp-0000026-3b1b357f064d,2026-08-22T12:30:26+09:00,d00cd33771798e2fda3b,champ-5c4ebf8f035b,chal-3b1b357f064d,"{""evolution_rate"": 0.7, ""frequency_profile"": ""default"", ""half_life_draws"": 1500, ""lr_c"": 0.25, ""markov_blend"": 0.65, ""random_state"": 42, ""top_k"": 20, ""transition_window"": 1000, ""tree_estimators"": 240, ""tree_min_leaf"": 8, ""validation_draws"": 1000, ""weight_temperature"": 0.01}",6.91314930508815,6.912865716420156,0.0002835886679939,3,0.0,False,False,6.919173646423948,6.921684930052221,-0.002511283628273,REJECTED,rejected: development improvement/consistency threshold not met,champ-5c4ebf8f035b
27,exp-0000027-4cc402949110,2026-08-22T12:30:37+09:00,d00cd33771798e2fda3b,champ-5c4ebf8f035b,chal-4cc402949110,"{""evolution_rate"": 0.55, ""frequency_profile"": ""default"", ""half_life_draws"": 1500, ""lr_c"": 0.5, ""markov_blend"": 0.65, ""random_state"": 42, ""top_k"": 20, ""transition_window"": 500, ""tree_estimators"": 240, ""tree_min_leaf"": 8, ""validation_draws"": 1000, ""weight_temperature"": 0.01}",6.91314930508815,6.9135742207127935,-0.0004249156246434,2,0.0052973059881864,False,False,6.919173646423948,6.92226086205974,-0.0030872156357917,REJECTED,rejected: development improvement/consistency threshold not met,champ-5c4ebf8f035b
28,exp-0000028-9a1e2e403144,2026-08-22T12:30:48+09:00,d00cd33771798e2fda3b,champ-5c4ebf8f035b,chal-9a1e2e403144,"{""evolution_rate"": 0.7, ""frequency_profile"": ""default"", ""half_life_draws"": 1500, ""lr_c"": 0.5, ""markov_blend"": 0.55, ""random_state"": 42, ""top_k"": 20, ""transition_window"": 1000, ""tree_estimators"": 240, ""tree_min_leaf"": 8, ""validation_draws"": 1000, ""weight_temperature"": 0.01}",6.91314930508815,6.912598733808966,0.0005505712791844,2,0.0003799386203402,False,False,6.919173646423948,6.921082130934358,-0.0019084845104098,REJECTED,rejected: development improvement/consistency threshold not met,champ-5c4ebf8f035b
29,exp-0000029-9c1c12056edf,2026-08-22T12:30:59+09:00,d00cd33771798e2fda3b,champ-5c4ebf8f035b,chal-9c1c12056edf,"{""evolution_rate"": 0.7, ""frequency_profile"": ""default"", ""half_life_draws"": 1500, ""lr_c"": 0.5, ""markov_blend"": 0.75, ""random_state"": 42, ""top_k"": 20, ""transition_window"": 1000, ""tree_estimators"": 240, ""tree_min_leaf"": 8, ""validation_draws"": 1000, ""weight_temperature"": 0.01}",6.91314930508815,6.913291738451484,-0.0001424333633339,2,0.0021340027693144,False,False,6.919173646423948,6.922514224197121,-0.0033405777731729,REJECTED,rejected: development improvement/consistency threshold not met,champ-5c4ebf8f035b
30,exp-0000030-91bf19e48127,2026-08-22T12:31:09+09:00,d00cd33771798e2fda3b,champ-5c4ebf8f035b,chal-91bf19e48127,"{""evolution_rate"": 0.55, ""frequency_profile"": ""default"", ""half_life_draws"": 1500, ""lr_c"": 0.5, ""markov_blend"": 0.65, ""random_state"": 42, ""top_k"": 20, ""transition_window"": 1000, ""tree_estimators"": 120, ""tree_min_leaf"": 8, ""validation_draws"": 1000, ""weight_temperature"": 0.01}",6.91314930508815,6.917542918463806,-0.0043936133756563,0,0.0064021575121815,False,False,6.919173646423948,6.928911116196028,-0.0097374697720802,REJECTED,rejected: development improvement/consistency threshold not met,champ-5c4ebf8f035b
